,u,i,ts,label,idx
168,10,54,7344000.0,0.0,169
169,44,54,7344000.0,0.0,170
170,54,10,7344000.0,0.0,171
171,36,2,7430400.0,0.0,172
172,3,2,7430400.0,0.0,173
173,10,2,7430400.0,0.0,174
174,2,36,7430400.0,0.0,175
175,14,39,7516800.0,0.0,176
176,2,39,7516800.0,0.0,177
177,1,39,7516800.0,0.0,178
178,61,18,7516800.0,0.0,179
179,10,39,7516800.0,0.0,180
180,30,39,7516800.0,0.0,181
181,18,61,7516800.0,0.0,182
182,58,39,7516800.0,0.0,183
183,59,39,7516800.0,0.0,184
184,24,39,7516800.0,0.0,185
185,4,39,7516800.0,0.0,186
186,56,29,7603200.0,0.0,187
187,28,37,7603200.0,0.0,188
188,37,28,7603200.0,0.0,189
189,28,53,7603200.0,0.0,190
190,62,63,7689600.0,0.0,191
191,10,63,7689600.0,0.0,192
192,64,63,7689600.0,0.0,193
193,63,64,7689600.0,0.0,194
194,63,62,7689600.0,0.0,195
195,21,40,7862400.0,0.0,196
196,65,3,7862400.0,0.0,197
197,40,21,7862400.0,0.0,198
198,3,65,7862400.0,0.0,199
199,28,56,7948800.0,0.0,200
200,14,65,7948800.0,0.0,201
201,29,56,7948800.0,0.0,202
202,65,14,7948800.0,0.0,203
203,1,47,7948800.0,0.0,204
204,65,66,8035200.0,0.0,205
205,66,65,8035200.0,0.0,206
206,2,57,8035200.0,0.0,207
207,52,65,8035200.0,0.0,208
208,65,52,8035200.0,0.0,209
209,67,18,8121600.0,0.0,210
210,37,52,8121600.0,0.0,211
211,52,37,8121600.0,0.0,212
212,28,67,8121600.0,0.0,213
213,57,52,8121600.0,0.0,214
214,18,67,8121600.0,0.0,215
215,52,57,8121600.0,0.0,216
216,47,1,8121600.0,0.0,217
217,67,28,8121600.0,0.0,218
218,41,18,8208000.0,0.0,219
219,68,18,8208000.0,0.0,220
220,52,41,8208000.0,0.0,221
221,66,68,8294400.0,0.0,222
222,69,65,8294400.0,0.0,223
223,18,68,8294400.0,0.0,224
224,65,40,8294400.0,0.0,225
225,68,66,8294400.0,0.0,226
226,8,65,8294400.0,0.0,227
227,65,69,8294400.0,0.0,228
228,36,56,8380800.0,0.0,229
229,65,70,8380800.0,0.0,230
230,70,56,8380800.0,0.0,231
231,70,65,8380800.0,0.0,232
232,56,70,8380800.0,0.0,233
233,2,56,8380800.0,0.0,234
234,70,3,8380800.0,0.0,235
235,56,71,8380800.0,0.0,236
236,71,56,8380800.0,0.0,237
237,56,2,8380800.0,0.0,238
238,3,70,8380800.0,0.0,239
239,56,66,8467200.0,0.0,240
240,66,56,8467200.0,0.0,241
241,72,65,8467200.0,0.0,242
242,65,72,8467200.0,0.0,243
243,65,35,8467200.0,0.0,244
244,63,10,8553600.0,0.0,245
245,2,73,8553600.0,0.0,246
246,74,28,8553600.0,0.0,247
247,73,2,8553600.0,0.0,248
248,65,8,8553600.0,0.0,249
249,3,75,8553600.0,0.0,250
250,76,41,8553600.0,0.0,251
251,28,74,8553600.0,0.0,252
252,28,76,8640000.0,0.0,253
253,77,65,8640000.0,0.0,254
254,3,56,8640000.0,0.0,255
255,76,28,8640000.0,0.0,256
256,78,65,8640000.0,0.0,257
257,65,63,8640000.0,0.0,258
258,35,65,8640000.0,0.0,259
259,79,56,8640000.0,0.0,260
260,35,78,8640000.0,0.0,261
261,72,56,8640000.0,0.0,262
262,80,81,8640000.0,0.0,263
263,56,79,8640000.0,0.0,264
264,56,3,8640000.0,0.0,265
265,65,77,8640000.0,0.0,266
266,63,65,8640000.0,0.0,267
267,81,40,8640000.0,0.0,268
268,81,80,8640000.0,0.0,269
269,82,44,8640000.0,0.0,270
270,56,72,8640000.0,0.0,271
271,28,83,8726400.0,0.0,272
272,31,18,8726400.0,0.0,273
273,81,65,8726400.0,0.0,274
274,18,31,8726400.0,0.0,275
275,65,81,8726400.0,0.0,276
276,83,28,8726400.0,0.0,277
277,84,41,8812800.0,0.0,278
278,65,28,8812800.0,0.0,279
279,41,84,8812800.0,0.0,280
280,28,65,8812800.0,0.0,281
281,60,2,8812800.0,0.0,282
282,44,82,8812800.0,0.0,283
283,2,60,8812800.0,0.0,284
284,57,2,8812800.0,0.0,285
285,18,85,8899200.0,0.0,286
286,60,8,8899200.0,0.0,287
287,8,60,8899200.0,0.0,288
288,85,18,8899200.0,0.0,289
289,75,60,8899200.0,0.0,290
290,40,75,8899200.0,0.0,291
291,60,75,8899200.0,0.0,292
292,81,60,8899200.0,0.0,293
293,60,81,8899200.0,0.0,294
294,75,40,8899200.0,0.0,295
295,40,65,8899200.0,0.0,296
296,44,65,8985600.0,0.0,297
297,65,44,8985600.0,0.0,298
298,28,86,9072000.0,0.0,299
299,86,28,9072000.0,0.0,300
300,65,83,9072000.0,0.0,301
301,81,3,9072000.0,0.0,302
302,3,81,9072000.0,0.0,303
303,83,65,9072000.0,0.0,304
304,18,2,9072000.0,0.0,305
305,2,18,9072000.0,0.0,306
306,28,35,9158400.0,0.0,307
307,42,71,9158400.0,0.0,308
308,71,42,9158400.0,0.0,309
309,87,78,9244800.0,0.0,310
310,3,87,9244800.0,0.0,311
311,78,87,9244800.0,0.0,312
312,87,3,9244800.0,0.0,313
313,88,28,9331200.0,0.0,314
314,28,88,9331200.0,0.0,315
315,44,56,9331200.0,0.0,316
316,23,89,9417600.0,0.0,317
317,89,23,9417600.0,0.0,318
318,87,77,9417600.0,0.0,319
319,90,41,9417600.0,0.0,320
320,37,87,9417600.0,0.0,321
321,77,87,9417600.0,0.0,322
322,63,87,9417600.0,0.0,323
323,87,63,9417600.0,0.0,324
324,65,91,9417600.0,0.0,325
325,41,90,9417600.0,0.0,326
326,92,28,9417600.0,0.0,327
327,91,65,9417600.0,0.0,328
328,44,41,9417600.0,0.0,329
329,87,37,9417600.0,0.0,330
330,93,23,9504000.0,0.0,331
331,87,18,9504000.0,0.0,332
332,85,72,9504000.0,0.0,333
333,85,94,9504000.0,0.0,334
334,94,85,9504000.0,0.0,335
335,72,85,9504000.0,0.0,336
336,81,95,9590400.0,0.0,337
337,96,72,9590400.0,0.0,338
338,2,35,9590400.0,0.0,339
339,72,96,9590400.0,0.0,340
340,43,35,9590400.0,0.0,341
341,95,81,9590400.0,0.0,342
342,35,43,9590400.0,0.0,343
343,74,41,9676800.0,0.0,344
344,77,3,9676800.0,0.0,345
345,97,87,9676800.0,0.0,346
346,41,74,9676800.0,0.0,347
347,72,71,9676800.0,0.0,348
348,25,2,9676800.0,0.0,349
349,87,97,9676800.0,0.0,350
350,28,92,9676800.0,0.0,351
351,71,72,9676800.0,0.0,352
352,3,77,9676800.0,0.0,353
353,62,98,9763200.0,0.0,354
354,65,99,9763200.0,0.0,355
355,62,71,9763200.0,0.0,356
356,99,65,9763200.0,0.0,357
357,98,62,9763200.0,0.0,358
358,98,72,9763200.0,0.0,359
359,72,98,9763200.0,0.0,360
360,98,65,9763200.0,0.0,361
361,71,62,9763200.0,0.0,362
362,65,98,9763200.0,0.0,363
363,40,18,9849600.0,0.0,364
364,37,70,9849600.0,0.0,365
365,70,37,9849600.0,0.0,366
366,100,18,9849600.0,0.0,367
367,18,100,9849600.0,0.0,368
368,18,42,9849600.0,0.0,369
369,18,40,9849600.0,0.0,370
370,18,101,9936000.0,0.0,371
371,101,18,9936000.0,0.0,372
372,18,102,9936000.0,0.0,373
373,23,93,9936000.0,0.0,374
374,102,18,9936000.0,0.0,375
375,72,40,10022400.0,0.0,376
376,44,103,10022400.0,0.0,377
377,18,104,10022400.0,0.0,378
378,104,18,10022400.0,0.0,379
379,103,44,10022400.0,0.0,380
380,63,44,10195200.0,0.0,381
381,44,63,10195200.0,0.0,382
382,44,105,10195200.0,0.0,383
383,56,44,10195200.0,0.0,384
384,105,44,10195200.0,0.0,385
385,2,3,10281600.0,0.0,386
386,106,71,10281600.0,0.0,387
387,71,106,10281600.0,0.0,388
388,89,44,10281600.0,0.0,389
389,41,99,10281600.0,0.0,390
390,99,41,10281600.0,0.0,391
391,18,56,10281600.0,0.0,392
392,44,89,10281600.0,0.0,393
393,96,41,10368000.0,0.0,394
394,18,107,10454400.0,0.0,395
395,41,108,10454400.0,0.0,396
396,107,18,10454400.0,0.0,397
397,96,108,10454400.0,0.0,398
398,108,96,10454400.0,0.0,399
399,19,18,10454400.0,0.0,400
400,108,41,10454400.0,0.0,401
401,109,41,10454400.0,0.0,402
402,41,109,10454400.0,0.0,403
403,41,15,10540800.0,0.0,404
404,15,41,10540800.0,0.0,405
405,110,43,10540800.0,0.0,406
406,105,41,10540800.0,0.0,407
407,43,110,10540800.0,0.0,408
408,41,111,10713600.0,0.0,409
409,112,41,10713600.0,0.0,410
410,111,41,10713600.0,0.0,411
411,18,77,10713600.0,0.0,412
412,77,18,10713600.0,0.0,413
413,65,112,10800000.0,0.0,414
414,112,65,10800000.0,0.0,415
415,113,18,10800000.0,0.0,416
416,18,113,10800000.0,0.0,417
417,114,18,10969200.0,0.0,418
418,108,115,10969200.0,0.0,419
419,52,116,10969200.0,0.0,420
420,115,108,10969200.0,0.0,421
421,117,70,10969200.0,0.0,422
422,18,19,10969200.0,0.0,423
423,118,41,10969200.0,0.0,424
424,116,52,10969200.0,0.0,425
425,41,70,10969200.0,0.0,426
426,70,117,10969200.0,0.0,427
427,56,18,10969200.0,0.0,428
428,41,35,11055600.0,0.0,429
429,119,115,11055600.0,0.0,430
430,115,119,11055600.0,0.0,431
431,43,113,11055600.0,0.0,432
432,18,120,11055600.0,0.0,433
433,18,35,11055600.0,0.0,434
434,35,41,11055600.0,0.0,435
435,121,18,11142000.0,0.0,436
436,18,121,11142000.0,0.0,437
437,122,41,11142000.0,0.0,438
438,70,41,11228400.0,0.0,439
439,71,70,11228400.0,0.0,440
440,70,71,11228400.0,0.0,441
441,119,18,11314800.0,0.0,442
442,122,81,11401200.0,0.0,443
443,47,18,11487600.0,0.0,444
444,120,18,11487600.0,0.0,445
445,18,123,11487600.0,0.0,446
446,44,81,11574000.0,0.0,447
447,6,113,11574000.0,0.0,448
448,113,6,11574000.0,0.0,449
449,18,47,11574000.0,0.0,450
450,124,116,11574000.0,0.0,451
451,41,31,11574000.0,0.0,452
452,81,44,11574000.0,0.0,453
453,116,124,11574000.0,0.0,454
454,124,88,11660400.0,0.0,455
455,66,51,11660400.0,0.0,456
456,41,125,11660400.0,0.0,457
457,18,126,11660400.0,0.0,458
458,65,126,11660400.0,0.0,459
459,116,126,11660400.0,0.0,460
460,18,119,11660400.0,0.0,461
461,51,66,11660400.0,0.0,462
462,43,81,11660400.0,0.0,463
463,15,126,11660400.0,0.0,464
464,126,41,11660400.0,0.0,465
465,41,126,11660400.0,0.0,466
466,122,126,11660400.0,0.0,467
467,41,44,11660400.0,0.0,468
468,125,41,11660400.0,0.0,469
469,126,116,11660400.0,0.0,470
470,126,18,11746800.0,0.0,471
471,126,15,11746800.0,0.0,472
472,82,71,11746800.0,0.0,473
473,71,82,11746800.0,0.0,474
474,127,62,11746800.0,0.0,475
475,128,71,11746800.0,0.0,476
476,71,128,11746800.0,0.0,477
477,56,19,11746800.0,0.0,478
478,116,82,11833200.0,0.0,479
479,127,129,11833200.0,0.0,480
480,58,92,11833200.0,0.0,481
481,78,62,11833200.0,0.0,482
482,81,24,11833200.0,0.0,483
483,129,127,11833200.0,0.0,484
484,24,81,11833200.0,0.0,485
485,123,15,11919600.0,0.0,486
486,130,41,11919600.0,0.0,487
487,41,131,11919600.0,0.0,488
488,131,41,11919600.0,0.0,489
489,41,130,11919600.0,0.0,490
490,126,122,11919600.0,0.0,491
491,56,132,12006000.0,0.0,492
492,133,93,12006000.0,0.0,493
493,93,132,12006000.0,0.0,494
494,132,93,12006000.0,0.0,495
495,134,2,12092400.0,0.0,496
496,3,24,12092400.0,0.0,497
497,2,135,12092400.0,0.0,498
498,2,134,12092400.0,0.0,499
499,136,41,12092400.0,0.0,500
500,18,41,12092400.0,0.0,501
501,135,2,12092400.0,0.0,502
502,132,15,12092400.0,0.0,503
503,137,2,12092400.0,0.0,504
504,65,2,12092400.0,0.0,505
505,15,132,12092400.0,0.0,506
506,2,41,12092400.0,0.0,507
507,116,93,12092400.0,0.0,508
508,2,15,12092400.0,0.0,509
509,93,116,12092400.0,0.0,510
510,122,135,12092400.0,0.0,511
511,138,41,12178800.0,0.0,512
512,23,135,12178800.0,0.0,513
513,127,41,12178800.0,0.0,514
514,139,41,12265200.0,0.0,515
515,140,41,12265200.0,0.0,516
516,41,140,12265200.0,0.0,517
517,102,111,12265200.0,0.0,518
518,111,102,12265200.0,0.0,519
519,44,2,12351600.0,0.0,520
520,89,15,12351600.0,0.0,521
521,81,43,12351600.0,0.0,522
522,141,119,12351600.0,0.0,523
523,2,101,12351600.0,0.0,524
524,18,142,12351600.0,0.0,525
525,119,141,12351600.0,0.0,526
526,2,44,12351600.0,0.0,527
527,142,18,12351600.0,0.0,528
528,119,143,12438000.0,0.0,529
529,144,41,12438000.0,0.0,530
530,143,119,12438000.0,0.0,531
531,41,144,12438000.0,0.0,532
532,44,116,12524400.0,0.0,533
533,18,145,12524400.0,0.0,534
534,116,44,12524400.0,0.0,535
535,18,146,12524400.0,0.0,536
536,147,81,12610800.0,0.0,537
537,148,24,12610800.0,0.0,538
538,37,148,12610800.0,0.0,539
539,116,149,12610800.0,0.0,540
540,81,147,12610800.0,0.0,541
541,149,116,12610800.0,0.0,542
542,24,148,12610800.0,0.0,543
543,150,116,12610800.0,0.0,544
544,116,150,12610800.0,0.0,545
545,41,3,12697200.0,0.0,546
546,3,62,12697200.0,0.0,547
547,144,43,12697200.0,0.0,548
548,37,2,12697200.0,0.0,549
549,71,24,12697200.0,0.0,550
550,116,62,12697200.0,0.0,551
551,151,140,12697200.0,0.0,552
552,152,41,12697200.0,0.0,553
553,62,116,12697200.0,0.0,554
554,43,144,12697200.0,0.0,555
555,24,71,12697200.0,0.0,556
556,119,153,12697200.0,0.0,557
557,34,18,12697200.0,0.0,558
558,140,151,12697200.0,0.0,559
559,41,152,12697200.0,0.0,560
560,18,114,12697200.0,0.0,561
561,153,119,12697200.0,0.0,562
562,39,3,12697200.0,0.0,563
563,28,18,12697200.0,0.0,564
564,24,18,12697200.0,0.0,565
565,3,18,12697200.0,0.0,566
566,8,18,12697200.0,0.0,567
567,43,18,12697200.0,0.0,568
568,43,3,12697200.0,0.0,569
569,18,3,12697200.0,0.0,570
570,2,37,12697200.0,0.0,571
571,41,154,12783600.0,0.0,572
572,155,2,12783600.0,0.0,573
573,114,42,12783600.0,0.0,574
574,41,138,12783600.0,0.0,575
575,41,156,12783600.0,0.0,576
576,60,31,12783600.0,0.0,577
577,116,31,12783600.0,0.0,578
578,157,2,12783600.0,0.0,579
579,19,158,12783600.0,0.0,580
580,37,42,12783600.0,0.0,581
581,81,42,12783600.0,0.0,582
582,31,116,12783600.0,0.0,583
583,42,151,12783600.0,0.0,584
584,158,19,12783600.0,0.0,585
585,2,157,12783600.0,0.0,586
586,156,116,12783600.0,0.0,587
587,42,81,12783600.0,0.0,588
588,151,42,12783600.0,0.0,589
589,154,41,12783600.0,0.0,590
590,42,114,12783600.0,0.0,591
591,119,87,12870000.0,0.0,592
592,156,155,12870000.0,0.0,593
593,87,119,12870000.0,0.0,594
594,159,155,12870000.0,0.0,595
595,160,19,12870000.0,0.0,596
596,161,128,12870000.0,0.0,597
597,156,41,12870000.0,0.0,598
598,41,159,12870000.0,0.0,599
599,128,161,12870000.0,0.0,600
600,155,159,12870000.0,0.0,601
601,162,41,12870000.0,0.0,602
602,159,41,12870000.0,0.0,603
603,8,34,12870000.0,0.0,604
604,19,160,12870000.0,0.0,605
605,155,156,12870000.0,0.0,606
606,163,41,12956400.0,0.0,607
607,46,164,12956400.0,0.0,608
608,165,41,12956400.0,0.0,609
609,41,163,12956400.0,0.0,610
610,41,165,12956400.0,0.0,611
611,41,48,13042800.0,0.0,612
612,48,41,13042800.0,0.0,613
613,48,44,13042800.0,0.0,614
614,2,143,13042800.0,0.0,615
615,116,162,13042800.0,0.0,616
616,119,166,13042800.0,0.0,617
617,155,162,13042800.0,0.0,618
618,162,15,13042800.0,0.0,619
619,15,162,13042800.0,0.0,620
620,166,119,13042800.0,0.0,621
621,18,87,13042800.0,0.0,622
622,2,162,13042800.0,0.0,623
623,162,2,13042800.0,0.0,624
624,41,162,13042800.0,0.0,625
625,41,167,13042800.0,0.0,626
626,167,41,13042800.0,0.0,627
627,168,41,13042800.0,0.0,628
628,162,155,13042800.0,0.0,629
629,143,2,13042800.0,0.0,630
630,86,154,13042800.0,0.0,631
631,44,48,13042800.0,0.0,632
632,18,71,13042800.0,0.0,633
633,71,18,13042800.0,0.0,634
634,169,4,13129200.0,0.0,635
635,132,37,13129200.0,0.0,636
636,4,169,13129200.0,0.0,637
637,169,170,13129200.0,0.0,638
638,170,169,13129200.0,0.0,639
639,171,2,13215600.0,0.0,640
640,172,2,13215600.0,0.0,641
641,172,18,13215600.0,0.0,642
642,2,171,13215600.0,0.0,643
643,153,116,13302000.0,0.0,644
644,173,10,13302000.0,0.0,645
645,60,156,13302000.0,0.0,646
646,174,120,13302000.0,0.0,647
647,63,156,13302000.0,0.0,648
648,120,174,13302000.0,0.0,649
649,116,153,13302000.0,0.0,650
650,82,166,13302000.0,0.0,651
651,175,128,13388400.0,0.0,652
652,28,68,13388400.0,0.0,653
653,81,176,13388400.0,0.0,654
654,68,116,13388400.0,0.0,655
655,152,68,13388400.0,0.0,656
656,4,177,13388400.0,0.0,657
657,41,178,13388400.0,0.0,658
658,68,28,13388400.0,0.0,659
659,19,179,13388400.0,0.0,660
660,128,175,13388400.0,0.0,661
661,180,41,13388400.0,0.0,662
662,178,41,13388400.0,0.0,663
663,181,128,13388400.0,0.0,664
664,175,182,13388400.0,0.0,665
665,176,81,13388400.0,0.0,666
666,177,4,13388400.0,0.0,667
667,182,175,13388400.0,0.0,668
668,128,181,13388400.0,0.0,669
669,68,152,13388400.0,0.0,670
670,41,176,13388400.0,0.0,671
671,179,19,13388400.0,0.0,672
672,116,68,13388400.0,0.0,673
673,182,41,13474800.0,0.0,674
674,139,116,13474800.0,0.0,675
675,145,89,13474800.0,0.0,676
676,175,89,13474800.0,0.0,677
677,18,37,13474800.0,0.0,678
678,18,82,13474800.0,0.0,679
679,55,2,13474800.0,0.0,680
680,89,145,13474800.0,0.0,681
681,2,94,13474800.0,0.0,682
682,88,161,13474800.0,0.0,683
683,89,175,13474800.0,0.0,684
684,140,10,13561200.0,0.0,685
685,183,175,13561200.0,0.0,686
686,175,183,13561200.0,0.0,687
687,171,41,13561200.0,0.0,688
688,184,41,13561200.0,0.0,689
689,163,18,13561200.0,0.0,690
690,2,185,13561200.0,0.0,691
691,41,171,13561200.0,0.0,692
692,185,2,13561200.0,0.0,693
693,39,41,13561200.0,0.0,694
694,116,139,13561200.0,0.0,695
695,82,116,13561200.0,0.0,696
696,18,182,13647600.0,0.0,697
697,8,132,13647600.0,0.0,698
698,186,187,13647600.0,0.0,699
699,166,68,13647600.0,0.0,700
700,68,2,13647600.0,0.0,701
701,40,72,13647600.0,0.0,702
702,68,188,13647600.0,0.0,703
703,119,175,13647600.0,0.0,704
704,189,41,13647600.0,0.0,705
705,175,116,13647600.0,0.0,706
706,68,166,13647600.0,0.0,707
707,2,190,13647600.0,0.0,708
708,188,68,13647600.0,0.0,709
709,161,88,13647600.0,0.0,710
710,41,189,13647600.0,0.0,711
711,82,72,13647600.0,0.0,712
712,37,132,13647600.0,0.0,713
713,190,2,13647600.0,0.0,714
714,41,191,13647600.0,0.0,715
715,37,175,13647600.0,0.0,716
716,182,18,13647600.0,0.0,717
717,116,175,13647600.0,0.0,718
718,191,41,13647600.0,0.0,719
719,55,132,13647600.0,0.0,720
720,175,119,13647600.0,0.0,721
721,2,68,13647600.0,0.0,722
722,187,186,13647600.0,0.0,723
723,41,184,13647600.0,0.0,724
724,184,68,13647600.0,0.0,725
725,192,116,13734000.0,0.0,726
726,193,194,13734000.0,0.0,727
727,116,192,13734000.0,0.0,728
728,190,152,13734000.0,0.0,729
729,153,18,13734000.0,0.0,730
730,195,119,13734000.0,0.0,731
731,196,197,13734000.0,0.0,732
732,119,15,13734000.0,0.0,733
733,198,166,13734000.0,0.0,734
734,119,195,13734000.0,0.0,735
735,15,119,13734000.0,0.0,736
736,199,18,13734000.0,0.0,737
737,166,198,13734000.0,0.0,738
738,200,116,13734000.0,0.0,739
739,201,116,13734000.0,0.0,740
740,116,200,13734000.0,0.0,741
741,116,201,13734000.0,0.0,742
742,178,168,13820400.0,0.0,743
743,72,136,13820400.0,0.0,744
744,202,62,13820400.0,0.0,745
745,152,168,13820400.0,0.0,746
746,136,72,13820400.0,0.0,747
747,155,203,13820400.0,0.0,748
748,41,8,13820400.0,0.0,749
749,41,136,13820400.0,0.0,750
750,44,168,13820400.0,0.0,751
751,128,204,13820400.0,0.0,752
752,41,168,13820400.0,0.0,753
753,89,136,13820400.0,0.0,754
754,205,18,13820400.0,0.0,755
755,203,155,13820400.0,0.0,756
756,197,196,13820400.0,0.0,757
757,136,89,13820400.0,0.0,758
758,132,20,13820400.0,0.0,759
759,204,128,13820400.0,0.0,760
760,116,66,13820400.0,0.0,761
761,66,116,13820400.0,0.0,762
762,81,130,13820400.0,0.0,763
763,130,81,13820400.0,0.0,764
764,44,111,13820400.0,0.0,765
765,168,136,13820400.0,0.0,766
766,20,132,13820400.0,0.0,767
767,116,206,13820400.0,0.0,768
768,195,13,13906800.0,0.0,769
769,207,2,13906800.0,0.0,770
770,13,195,13906800.0,0.0,771
771,161,37,13906800.0,0.0,772
772,208,181,13906800.0,0.0,773
773,51,139,13906800.0,0.0,774
774,181,208,13906800.0,0.0,775
775,37,161,13906800.0,0.0,776
776,14,140,13906800.0,0.0,777
777,209,190,13906800.0,0.0,778
